account_id,timestamp,amount,location,device_type,transaction_velocity,is_foreign_transaction,location_change_since_last_tx,new_device_used,failed_login_attempts,merchant_risk_score,account_age_days,amount_vs_avg,time_of_day,fraud
acct_9,2026-01-01T08:00:00,154.26,CA,MacBook,2,0,0,0,0,0.32,464,0.88,8,0
acct_9,2026-01-01T08:09:00,120.77,CA,Tablet,2,0,0,0,0,0.08,464,0.69,8,0
acct_9,2026-01-01T08:38:00,273.94,CA,MacBook,2,0,0,0,0,0.12,464,1.57,8,0
acct_9,2026-01-01T08:36:00,120.75,CA,Tablet,1,0,0,0,1,0.08,464,0.69,8,0
acct_9,2026-01-01T09:16:00,159.52,CA,Tablet,2,0,0,0,0,0.16,464,0.91,9,0
acct_9,2026-01-01T09:35:00,171.89,CA,MacBook,1,0,0,0,0,0.12,464,0.98,9,0
acct_9,2026-01-01T08:54:00,169.59,CA,Tablet,2,0,0,0,0,0.22,464,0.97,8,0
acct_9,2026-01-01T09:10:00,240.66,CA,Tablet,1,0,0,0,0,0.07,464,1.38,9,0
acct_9,2026-01-01T10:08:00,191.0,CA,MacBook,2,0,0,0,0,0.21,464,1.09,10,0
acct_9,2026-01-01T10:33:00,157.52,CA,MacBook,1,0,0,0,0,0.09,464,0.9,10,0
acct_9,2026-01-01T10:00:00,201.83,CA,MacBook,1,0,0,0,0,0.27,464,1.15,10,0
acct_9,2026-01-01T11:40:00,180.43,CA,Tablet,1,0,0,0,0,0.35,464,1.03,11,0
acct_9,2026-01-01T11:48:00,119.77,CA,MacBook,1,0,0,0,1,0.07,464,0.68,11,0
acct_9,2026-01-01T12:20:00,134.05,CA,Tablet,2,0,0,0,0,0.33,464,0.77,12,0
acct_9,2026-01-01T12:40:00,196.82,CA,Tablet,2,0,0,0,0,0.21,464,1.12,12,0
acct_9,2026-01-01T11:15:00,131.22,CA,MacBook,2,0,0,0,1,0.07,464,0.75,11,0
acct_9,2026-01-01T13:04:00,161.08,CA,MacBook,2,0,0,0,0,0.09,464,0.92,13,0
